::1 - - [06/Jan/2020:09:36:19 +0000] "GET / HTTP/1.1" 304 - "-" "Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 YaBrowser/19.12.3.320 Yowser/2.5 Safari/537.36"
::ffff:127.0.0.1 - - [13/Jan/2020:14:12:37 +0000] "POST /api/v1/auth/registration HTTP/1.1" 500 93 "-" "PostmanRuntime/7.21.0"
::ffff:127.0.0.1 - - [13/Jan/2020:14:13:48 +0000] "POST /api/v1/auth/registration HTTP/1.1" 500 93 "-" "PostmanRuntime/7.21.0"
::ffff:127.0.0.1 - - [13/Jan/2020:14:25:48 +0000] "POST /api/v1/auth/registration HTTP/1.1" 500 93 "-" "PostmanRuntime/7.21.0"
::ffff:127.0.0.1 - - [13/Jan/2020:14:39:26 +0000] "POST /api/v1/auth/registration HTTP/1.1" 500 115 "-" "PostmanRuntime/7.21.0"
::ffff:127.0.0.1 - - [13/Jan/2020:14:46:52 +0000] "POST /api/v1/auth/registration HTTP/1.1" 500 66 "-" "PostmanRuntime/7.21.0"
::ffff:127.0.0.1 - - [13/Jan/2020:14:50:32 +0000] "POST /api/v1/auth/registration HTTP/1.1" 500 66 "-" "PostmanRuntime/7.21.0"
::ffff:127.0.0.1 - - [13/Jan/2020:14:55:01 +0000] "POST /api/v1/auth/registration HTTP/1.1" 500 74 "-" "PostmanRuntime/7.21.0"
::ffff:127.0.0.1 - - [13/Jan/2020:14:55:34 +0000] "POST /api/v1/auth/registration HTTP/1.1" 500 79 "-" "PostmanRuntime/7.21.0"
::ffff:127.0.0.1 - - [13/Jan/2020:15:14:12 +0000] "GET /api/v1/api/v1/admin/users/pin_codes/get_pincodes HTTP/1.1" 404 187 "-" "PostmanRuntime/7.21.0"
::ffff:127.0.0.1 - - [13/Jan/2020:15:14:22 +0000] "GET /api/v1/api/v1/admin/users/pin_codes/get_pincodes HTTP/1.1" 404 187 "-" "PostmanRuntime/7.21.0"
::ffff:127.0.0.1 - - [13/Jan/2020:15:14:51 +0000] "GET /api/v1/api/v1/admin/users/pin_codes/get_pincodes HTTP/1.1" 404 187 "-" "PostmanRuntime/7.21.0"
::ffff:127.0.0.1 - - [13/Jan/2020:15:14:58 +0000] "GET /api/v1/api/v1/admin/users/pin_codes/get_pincodes HTTP/1.1" 404 187 "-" "PostmanRuntime/7.21.0"
::ffff:127.0.0.1 - - [13/Jan/2020:15:15:29 +0000] "GET /api/v1/admin/users/pin_codes/get_pincodes HTTP/1.1" 401 112 "-" "PostmanRuntime/7.21.0"
::ffff:127.0.0.1 - - [13/Jan/2020:15:15:38 +0000] "POST /api/v1/auth HTTP/1.1" 500 74 "-" "PostmanRuntime/7.21.0"
::ffff:127.0.0.1 - - [13/Jan/2020:15:16:29 +0000] "POST /api/v1/auth HTTP/1.1" 200 164 "-" "PostmanRuntime/7.21.0"
::ffff:127.0.0.1 - - [13/Jan/2020:15:16:33 +0000] "GET /api/v1/admin/users/pin_codes/get_pincodes HTTP/1.1" 401 112 "-" "PostmanRuntime/7.21.0"
::ffff:127.0.0.1 - - [13/Jan/2020:15:16:44 +0000] "GET /api/v1/admin/users/pin_codes/get_pincodes HTTP/1.1" 401 112 "-" "PostmanRuntime/7.21.0"
::ffff:127.0.0.1 - - [13/Jan/2020:15:17:06 +0000] "GET /api/v1/admin/users/pin_codes/get_pincodes HTTP/1.1" 401 112 "-" "PostmanRuntime/7.21.0"
::ffff:127.0.0.1 - - [13/Jan/2020:15:17:42 +0000] "GET /api/v1/admin/users/pin_codes/get_pincodes HTTP/1.1" 401 112 "-" "PostmanRuntime/7.21.0"
